RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10
753906,"North Port-Sarasota-Bradenton, FL",73,227200,221700,213600,209900,205900,201500,190100,178900,167600,158300,150000,145200,142300,142300,140000,142800,145700,151500,154300,154700,153500,154600,154300,151100,146800,147500,147700,146200,140100,139100,136600,136700,133800,136600,136800,137000,134100,137500,138700,139400,136700,135100,138900,136200,135600,133800,136500,140200,140500,144200,145500,146300,145900,148100,149900,151300,150800,154400,151400,151000,153000,161000,167300,168000,169600,168700,168800,170400,172000,172500,171300,171200,172900,173500,174800,176800,179000,180900,182100,183500,184100,184300,183500,186500,188800,193700,198700,202100,201300,202400,203200,206900,209200,212400,217700,217700,218000,217100,219500,221500,223400,224700,224300,224800,222900,224900,226900,229000,229500,230900,231100,232300,233300,234600,237300,237900,242000,244000,244500,246300,247800,250700,249000,245800,244700,246500,251000,250400,252200,254500,256800,259700,257700,261300,261000,261700,258400,256300,262100,260100
394798,"Little Rock, AR",74,125700,125500,128300,127600,126300,124500,124700,125200,123600,123400,124800,126800,128200,128700,131400,132700,135500,134700,135900,134500,136700,135600,141500,140500,142200,134900,136800,134400,136900,134800,136200,135100,137000,138400,138600,135500,134800,136500,138500,136700,134600,131200,129600,128800,130000,136000,140500,142500,141200,139400,140000,138100,139000,138300,142200,142900,142900,139500,140200,139100,139800,139400,142000,144200,143700,144700,143800,140500,137600,135900,135400,131200,129900,131200,132400,133400,133300,134500,133400,134200,133700,134800,134000,135000,136200,136200,139000,137500,138400,137500,140200,140400,139800,138000,137900,137500,137700,136700,137500,137200,138000,138200,138600,139700,140500,141500,142500,142900,141800,141900,139900,141100,138100,140000,139700,141400,143300,142900,144400,144000,146200,145800,145200,143700,144100,142600,141700,142100,145300,150000,153400,153000,151400,148700,148700,148100,148800,152000,152700,153600
395134,"Stockton, CA",75,,,,,,,,,,,,,,,,,,,153700,154900,160500,165900,167500,163700,161900,161000,163800,161600,161400,160200,160700,160300,160500,160300,160200,158000,156000,152200,151000,151100,153500,153300,154000,151500,151600,148400,150500,150500,152300,152900,152800,152700,152200,154500,160800,165900,175000,178400,178300,168600,172000,177300,191100,192600,200800,203100,211600,214800,219400,223100,228700,228700,230400,229800,236300,239900,242100,244200,245300,249800,250900,253000,249600,251300,249900,254900,255000,264100,264800,273800,272100,271400,269200,267200,275200,280100,283800,284100,287000,288700,291200,290300,295000,299300,304400,307400,307700,308700,309000,313000,315100,317700,319300,322300,324800,323100,333500,336600,345000,341500,350000,350300,349000,347900,347400,349800,344500,344300,343900,347000,352800,354000,355000,357400,362500,370300,368700,367100,362100,362200
394457,"Charleston, SC",76,184700,183200,185900,187400,191500,193800,189900,188000,182700,180700,178800,179000,177700,173400,172900,176900,177900,181000,174900,173200,167900,172300,179800,179800,178800,182000,182900,182700,175000,181200,184600,181600,186700,185300,184300,175300,168200,164100,161600,163700,170400,172900,170200,166800,170900,178400,180000,167500,158300,152200,163200,178900,194900,199300,190700,182700,179100,186400,186700,180000,174700,177100,183400,189100,191000,197700,200000,199100,198600,194400,197600,190500,188600,191500,193100,197100,195700,198500,198500,197800,198100,195000,195100,195500,199500,200100,203700,207200,210500,213800,212100,213800,213400,215300,214300,217400,222100,224400,223100,219100,218700,215800,219400,223400,226200,227000,226900,228600,226000,225100,224500,225800,227400,229900,232200,232400,232300,237200,241200,247100,248900,247300,244300,241300,240400,240500,242000,244600,248800,248600,251000,249000,245100,242600,240900,243600,244200,249400,255700,260800
395143,"Syracuse, NY",77,110300,109600,108600,108000,110500,110100,110500,108200,105700,102800,102500,103200,108900,113400,116300,114800,112100,111600,110500,111400,109000,107100,106200,111300,117400,120800,119300,114200,109400,107600,109000,113700,112600,114200,112600,114200,115700,119900,120600,117600,112500,112600,112200,110800,105100,106900,107900,116700,116800,119800,117200,117900,117700,117500,115000,110300,110800,111800,115000,114500,120300,123800,123900,119800,117900,118000,118400,119000,119000,118700,118000,119200,119700,119900,115400,114700,113600,115700,116500,113400,115200,113700,117100,117800,122500,123300,123500,118700,118100,117500,117500,117200,113200,114400,115400,119400,119100,118400,117900,118700,119300,120700,120500,120100,120100,120300,121500,119700,118600,117700,117500,118600,119900,119400,119900,120100,122900,128400,128000,132000,129600,131300,129900,129300,130300,131100,131000,129800,129200,133300,134500,138700,139000,141500,138600,135900,137100,136000,138800,
394484,"Colorado Springs, CO",78,193100,191200,190700,190900,195000,192600,191200,183900,182900,178000,175100,170100,169800,167900,168800,168000,172800,179500,182200,180400,178000,180000,178600,174100,170600,170200,170400,170000,175800,184100,188700,186500,182500,182500,179700,178500,171900,169500,165300,165000,167500,168900,169000,169100,167700,169300,167000,167400,168600,172900,178300,180200,185300,184800,184600,181700,184400,185000,183900,183700,188400,192300,192300,192600,196100,198000,198500,196800,198700,198300,199300,195700,197000,196400,200700,204800,208200,210300,210400,210900,210500,211200,216300,217900,217700,215000,218800,219800,221100,219700,221200,220500,221100,223400,225400,228600,228500,230500,231400,233900,234900,238400,240800,244400,244200,245600,248000,247400,249600,250800,254600,254900,254700,256600,258600,262700,268600,271900,273100,275000,278700,282600,283900,285800,287100,287100,288200,287900,290400,289600,290600,293000,298200,302700,303200,300900,302900,305400,310800,314100
395235,"Winston-Salem, NC",79,130100,129900,124900,125600,126700,127200,123800,124900,124500,124400,123900,126600,131100,130100,127200,124600,124700,125700,123300,125000,124200,126200,126800,128100,128400,127300,126100,124900,120100,117600,116900,118500,121300,119200,115600,111000,115800,119600,124400,124900,125700,124500,120900,122000,121000,119000,112200,112900,116100,118700,116000,120400,124000,126300,119500,116700,116200,114800,113100,108700,107700,112900,116500,122900,120100,121800,118100,118800,118800,119800,118400,122300,118500,119400,115400,119400,118900,119400,119200,120200,120800,122100,124200,128300,133000,132100,129200,124600,126100,124300,124200,123400,125600,125600,128900,130000,130200,129500,130100,132500,131600,132200,133300,135500,134300,133100,132300,132800,135100,135800,135800,134500,136400,137000,137700,137900,138800,140100,139800,142500,145200,147200,146000,144400,144100,145200,146000,148000,149600,151200,148200,145900,149300,153200,155000,153500,155500,156700,157100,156900
395224,"Wichita, KS",80,116200,119600,121000,120900,122300,122500,123000,121900,122400,123800,123900,123900,123300,123900,122600,121500,121900,122200,122000,118900,117800,117200,121500,124200,128000,126800,126300,122200,120200,119400,122800,123800,126800,126700,128800,122500,122700,122400,125100,122600,122100,123400,125400,126000,125300,126000,121100,126800,126200,131200,126000,125200,124600,125200,125800,127000,129000,130300,127200,124500,126300,127800,129500,127900,129000,128700,127200,123700,123000,122700,125400,127000,128400,128000,126500,124900,126000,126100,127600,129100,130100,131400,132800,136300,137700,137500,136600,135100,134100,133600,134000,133300,133600,135100,136600,136200,135700,135500,136500,136500,137700,136200,139200,139700,141800,143100,143200,143300,139000,138600,137600,140000,140100,142800,142100,142300,141800,141600,141900,140700,140400,141700,142600,144200,143600,144700,145000,145500,145800,147600,153300,155200,158100,155200,157400,158500,164600,164600,164300,
395115,"Springfield, MA",81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163900,167800,172400,165400,163900,165700,173600,173900,173300,174300,178100,177900,177500,178000,176400,175500,175300,175300,175400,174200,176200,177400,179500,179800,181400,177600,177900,173500,175400,176700,177000,179400,183500,187900,188300,183200,181400,181300,181900,183000,183600,182600,182500,180700,180900,180300,179900,181000,182700,181300,181300,182000,183500,183700,184700,186800,186400,186500,185000,182300,181900,185000,189600,190800,191600,196900,197000,198200,195800,196700,200800,197500,201600,196700,199800,195900,199900,204200,209700,207900,207700,205100,206500,206300,208900,212100,212600,212600,216900
394440,"Fort Myers, FL",82,207800,196800,189000,183900,178100,163600,151900,143300,135100,123100,111700,103900,96900,93300,86700,84800,84600,86800,87700,88700,90500,92400,91600,91200,90000,91600,92200,92100,89700,88600,87800,88900,89700,91100,91300,91400,91200,94400,96900,102000,102900,103800,101100,100600,101000,103100,107600,110700,115400,119200,120800,122600,122200,123100,122700,123300,128000,129200,130600,130700,132900,136900,140300,145800,148200,148300,148000,148000,148400,148600,149700,152600,154300,154500,154900,155700,157400,159500,158900,162300,164800,169000,168700,169500,173100,174800,178400,177600,181500,180000,181600,178100,177400,177500,179300,180000,175800,175100,173600,176900,177300,178900,179600,179900,180300,181700,184500,184000,185100,186300,187400,187000,184800,187100,195400,204000,208800,204500,206900,214900,219300,220500,215700,216800,216200,218800,219500,220800,220800,221200,222000,225600,225000,224400,223700,227000,227100,225500,225800,227400
