RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10
40,New Jersey,11,328900,329900,321900,308900,302900,299800,297400,293900,293500,293300,289200,286900,287800,285700,281300,272500,270400,269100,268700,270500,271600,272000,273100,276100,282400,283400,278900,273700,271800,271800,270300,268500,269900,273500,274500,275300,272900,271100,265500,263900,264200,263000,261000,256500,254000,253300,252400,255600,257200,261600,258800,258600,256600,258000,255700,255900,256800,256800,257700,258900,261300,262600,264100,265800,268100,272800,273300,273900,269900,270400,270700,270300,273300,271700,273000,270200,273400,275300,273000,269500,268700,271500,272500,271900,271200,272500,270600,270900,268100,268200,267500,267900,269800,266900,264500,263500,265100,264300,261200,260500,262700,264800,266900,267600,266900,269800,269400,271700,267400,268300,267100,265400,261600,259500,262600,264500,264900,264100,266800,268000,269300,273400,275800,277000,273600,272900,271200,269500,268900,271800,276300,280700,283000,285800,288100,288400,289200,288900,290700,
56,Virginia,12,249500,245400,238500,232600,231300,231100,230600,228200,223600,219300,217200,218300,218600,214500,211800,209300,212300,215700,221400,223900,223800,223700,225600,226800,226000,223400,220100,216200,218800,223300,229700,227700,226700,226600,223800,220300,213100,210700,206600,205900,211000,216600,221200,216200,213300,210500,210800,209900,212000,216800,221500,223700,226300,228100,231800,232300,237800,236000,235900,230200,231800,233400,237600,243000,244500,246800,243800,245600,243900,243100,237800,234900,234900,237400,237700,238500,238300,240300,239700,241200,241200,243100,243000,245600,245600,247000,246400,246500,246900,246500,245300,244000,240700,241200,242600,244700,243700,242000,242000,242200,243900,244100,245200,246700,248500,248400,249500,251100,251500,252000,251500,253100,254600,254600,254400,252200,253800,254300,257300,258500,260000,261000,259800,261000,259200,258700,258500,258000,259300,258600,263500,266100,268900,267900,267800,267300,266900,268200,271400,
59,Washington,13,284500,277900,269100,261100,257100,256500,254800,253700,250700,252200,254800,258400,254800,247900,238100,235600,233900,236300,236800,237500,236500,238100,244200,249000,249300,243900,237700,232100,234600,237200,239300,235100,234300,237100,238800,239400,233900,227700,220500,214700,211700,209500,209300,208000,207900,209400,209200,207400,204500,208600,212700,219100,219400,222800,224900,228800,231000,232900,233300,233700,235300,237300,238400,238400,240300,243900,245700,244700,242600,242100,242800,245000,246400,247200,246300,247600,250300,252800,254300,254900,254900,255600,257700,260500,262400,264300,266800,268700,268700,269800,271000,273900,274800,278500,281300,283000,283500,284300,287000,288600,290600,293500,295900,298100,300400,302700,307400,309000,311100,310700,312000,315400,317800,320800,322800,326300,330600,333300,335000,340500,347500,353100,351500,348200,345400,343600,343800,344800,347600,350400,357400,364900,368800,369400,368700,368200,367600,367800,369100,371700
26,Massachusetts,14,314400,308500,297000,291300,287700,286200,283100,281500,274400,268200,260100,263500,262300,264200,261000,264400,268000,271800,274500,274100,270800,274000,278700,287700,287000,287000,280400,282100,283100,289600,287600,285900,283300,282100,272400,263600,257600,263000,270700,280000,285700,286000,284400,279700,275700,272100,269500,271100,273800,280000,282400,288000,290900,291300,285600,281100,281400,286000,285900,292600,292900,302000,301900,307200,309300,312400,314200,313300,309200,307200,309200,315700,318000,316500,315800,316100,318400,317900,316900,315600,315300,317400,319700,328200,328500,326900,319200,319000,321200,324100,324900,326000,325600,327700,326600,327000,325800,328800,328700,329500,329300,330900,332200,333800,335300,336200,338300,341200,343800,343900,344800,346100,347400,346900,349500,352400,355800,356100,355700,364100,365900,371500,367100,370300,369600,370000,367900,367400,369700,367500,367700,376300,385500,388800,384300,384500,387200,386300,386700,387200
22,Indiana,15,108400,105900,104500,105300,105600,105700,103600,102100,99700,98700,96800,95700,95400,96600,98400,100600,103100,105400,106700,105800,105700,105400,102900,100500,100700,104800,107800,108300,106700,105500,104600,103700,103700,104400,105300,103900,101800,101900,101800,101900,102300,103700,105800,103900,102800,101100,101100,100200,100400,103700,106600,109800,109300,111100,111000,112300,112100,112300,112700,111100,110200,110300,113100,116100,117900,119000,118100,116800,115200,114800,111000,107200,103900,105600,108500,112600,115300,117900,119600,120100,120000,119700,120800,120800,121100,121900,123500,126000,126500,126800,125200,123700,124500,125300,128500,128800,129000,128000,128000,128600,129400,130500,131700,132400,132700,132400,135500,136900,137300,134600,133900,135200,135900,136700,136500,137100,138400,139700,144600,145300,146400,143600,144400,144300,145100,145600,146500,146100,146600,146300,150300,152300,155100,152700,152900,153600,155500,157000,158300,
8,Arizona,16,220700,212300,203700,198500,192900,187700,180500,175000,167700,158800,148900,140300,133600,127400,123100,124500,128200,132000,133600,133300,134700,133300,133600,132600,132900,132600,130600,129700,128100,126600,125600,123500,122900,118800,118400,117000,116600,114100,110800,110800,110200,111300,112700,114400,118000,119300,117300,114500,114100,118400,122400,124600,126600,129100,130900,134100,137200,140200,141900,142400,144000,145900,148200,151100,153300,154400,154300,155500,155100,157300,157200,157900,157600,157700,158000,156900,158200,159200,162100,162100,162900,163100,163200,165400,167500,170200,171800,173300,173700,174100,175300,177200,178700,181000,182300,183800,184000,185400,187000,189300,189500,191700,192700,195600,198200,198000,199800,199800,202700,203100,204500,204300,205500,206500,209700,211300,214800,216000,220400,223200,225700,225800,224200,225400,227800,230100,231300,232400,234000,233300,234700,235900,239200,238600,239900,241000,244000,244700,247000,250200
53,Tennessee,17,118900,118900,117800,117200,116600,116400,115400,113500,110400,107200,106500,108400,110700,112200,111700,113200,113600,115000,115100,116000,116600,115300,114400,113500,114800,115500,116300,115500,112700,110900,110000,111400,111500,113500,114300,114900,113400,112500,111200,109900,110000,111300,111700,111500,110800,112400,111300,111100,110300,113200,114400,114600,113600,114100,115100,116000,115800,116900,117000,117300,116700,118400,120500,122900,124600,124500,123600,122600,123400,124100,122400,123000,123800,127000,127700,128900,130200,131100,131400,132700,133900,135900,135200,136400,136800,137600,137900,138300,139400,139700,139900,140300,140900,141200,142300,143200,144000,144700,145700,147400,148600,151200,152500,155100,154000,154700,154800,157000,157900,158700,157700,158800,159900,163100,165000,165800,167800,168700,171200,171700,173500,172800,172800,172100,172600,173300,173300,175200,177000,179700,182000,183800,184300,184600,184800,188100,189800,192100,192800,195500
32,Missouri,18,134500,132400,127300,124900,125400,125900,126300,125200,122200,119900,119300,125400,127800,127600,122500,121900,122700,123800,125000,126200,126900,127100,127300,128900,129300,127500,125000,124300,123000,121900,120500,120200,119100,118600,120000,120400,119900,117200,115800,114500,116200,116100,116200,115700,117300,118100,116600,118500,118000,119800,118600,119700,120300,120500,122300,122700,121900,122500,120200,122400,120500,123500,123600,126700,130400,131300,131800,130300,130300,129900,129600,129900,129400,129900,129500,131500,133400,135900,136000,135500,135400,136500,137700,139900,141100,142500,142300,142700,143100,143000,141800,141800,141400,143000,143600,145000,144800,144700,144700,145700,146000,146100,147100,147600,149200,148300,148400,151800,152700,152800,148700,148300,148500,148400,149400,150400,151900,152800,154200,159500,161200,161900,158000,156100,154700,153600,154100,156000,158200,159800,163200,166600,168600,167000,164800,165000,164300,164600,164600,165600
27,Maryland,19,268000,266400,261200,255300,250200,249400,249800,250000,249900,247400,246600,246000,245800,244000,235800,232500,224300,228500,228100,232000,228200,229600,229400,230000,226200,222600,218300,215200,211800,209100,208100,209500,211300,211000,212400,217300,214500,211100,201600,202700,202200,207300,206800,205800,206300,208300,211400,207700,208600,209600,215800,219200,220000,220100,215200,218600,221100,224200,226000,220200,218900,217300,222700,228800,235800,238300,238000,232400,231800,232600,235400,236000,238200,237000,239300,238600,239300,237000,236800,237200,238300,239700,237100,234200,231900,235100,233900,238100,239000,241900,240200,238100,236600,238000,236100,240500,240700,244900,244400,245000,247900,248800,247800,249000,248700,248800,247400,250800,252100,253600,253400,253900,252500,251200,255100,256400,259600,259100,261200,260100,262000,261600,262700,262000,260700,262200,263800,265600,264100,262800,262600,263200,264600,267300,272200,273600,273800,271600,273900,
60,Wisconsin,20,155500,152500,150000,146400,145700,144700,145000,144100,143900,141800,140000,138900,138800,136700,134500,132900,133000,133500,134400,135100,135900,137800,137900,139600,139300,137000,133900,131500,132300,132500,131800,131200,131600,133000,135500,135400,132100,126800,124400,124900,125800,126200,127100,127900,128100,127300,127300,125300,124500,124600,125900,127300,128500,130100,131200,131000,129800,130400,133000,135100,135500,134400,134600,136500,139300,141400,141700,139000,138700,138200,137200,135200,135100,135900,138000,138900,141700,142600,144300,142500,143100,143900,146800,148200,148400,149400,150100,150500,150600,150500,149800,150500,149800,150200,148800,151400,154100,155600,154700,154500,154300,154900,155300,157200,158300,158900,159100,159200,159100,159500,160500,161000,161700,162400,163000,164200,165200,166800,168300,170500,172200,173000,172100,172000,171600,171200,171200,172600,175000,175800,174400,177000,178700,182700,183100,182500,180800,179500,179500,
